"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @GrantRosoman: Finally #Jokowi acknowledges high #deforestation has caused the terrible flooding in West Kalimantan. But the ending of t…",FALSE,0,NA,2021-11-16 21:50:49,FALSE,NA,"1460727081470500868",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","orangutans",10,TRUE,FALSE,NA,NA
"RT @GrantRosoman: Finally #Jokowi acknowledges high #deforestation has caused the terrible flooding in West Kalimantan. But the ending of t…",FALSE,0,NA,2021-11-16 21:41:52,FALSE,NA,"1460724826012749828",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","k1k1taufik",10,TRUE,FALSE,NA,NA
"Finally #Jokowi acknowledges high #deforestation has caused the terrible flooding in West Kalimantan. But the endin… https://t.co/wZ3RFCIXUE",FALSE,30,NA,2021-11-16 21:22:01,TRUE,NA,"1460719834195394568",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GrantRosoman",10,FALSE,FALSE,NA,NA
"twitter #viral #Mahasiswa #Pesantren #guru #TwitterDown #Motivasi #indonesia #agamaislam #islam #nasehat… https://t.co/2DAHLPcOeH",FALSE,0,NA,2021-11-16 16:15:39,TRUE,NA,"1460642734033694721",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mande2021",0,FALSE,FALSE,NA,NA
"twitter #viral #Mahasiswa #Pesantren #guru #TwitterDown #Motivasi #indonesia #agamaislam #islam #nasehat… https://t.co/1nxk3LsaBa",FALSE,0,NA,2021-11-16 16:15:29,TRUE,NA,"1460642691625062405",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mande2021",0,FALSE,FALSE,NA,NA
"PRESIDENT Joko Widodo told Minister @NanaiaMahuta about his concern of human right and massive infrastructure dev't… https://t.co/ZRpXYEh7rM",FALSE,1,NA,2021-11-16 13:39:47,TRUE,NA,"1460603508449693702",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IwanKamah",0,FALSE,FALSE,NA,NA
"PRESIDENT Widodo is paying special attention to the Pacific during Indonesia's G20 presidency next year. Representa… https://t.co/QyqyXqM6uu",FALSE,0,NA,2021-11-16 13:16:34,TRUE,NA,"1460597662651084801",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IwanKamah",0,FALSE,FALSE,NA,NA
"INDONESIAN President Widodo appreciated the support of NZ for the 2nd Pacific Exposition which was held virtually d… https://t.co/VTGGjxyee7",FALSE,1,NA,2021-11-16 13:05:48,TRUE,NA,"1460594956007923718",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IwanKamah",0,FALSE,FALSE,NA,NA
"PRESIDENT Joko Widodo said that New Zealand is Indonesia's important partner in the Pacific and he seeks stronger c… https://t.co/QgY4Np7hZc",FALSE,0,NA,2021-11-16 13:02:48,TRUE,NA,"1460594199968026631",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IwanKamah",0,FALSE,FALSE,NA,NA
"INDONESIA'S President Joko Widodo receives courtesy call from New Zealand's Foreign Minister @NanaiaMahuta in Presi… https://t.co/UjStzffaAy",FALSE,1,NA,2021-11-16 12:52:38,TRUE,NA,"1460591640624570379",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IwanKamah",0,FALSE,FALSE,NA,NA
