Datetime,Username,Text
2021-11-29 16:02:14+00:00,AvicennaHafizh,untuk strasbourg laporannya sedingin balesan dm mu https://t.co/dnKTOMNb2X
2021-11-29 16:00:10+00:00,AvicennaHafizh,deff https://t.co/Yireule9ZH https://t.co/mgYiS4bDz9
2021-11-29 15:57:18+00:00,kuatbastanta,"@pengarang_sajak Aneh ah.. 
Menurut saya, formula e tidak berpengaruh apa apa di Indonesia. 
Masa berpatokan ke balapan ga jelas? 
Udah ada patokan kok. WSBK dan motoGP di mandalika. 
Lagian, siapa yg berbuat, dia dong yg bertanggung jawab. 
Masa si A nyuri, si B yg bertanggung jawab?
Ga lucu ah."
2021-11-29 15:54:26+00:00,GapensiL,@__AnakKolong Cangkeme Bambang sempat sempate ngulik Mandalika.  Juancuk tenan
2021-11-29 15:49:57+00:00,SINDOnews,"6 Dampak Ekonomi Balap Motor WSBK Mandalika, UMKM hingga Hotel Raup Untung

 #Sindonews #BukanBeritaBiasa .https://t.co/YwJNlFCQOp"
2021-11-29 15:39:53+00:00,BNurvia,"@NinjaCir3ng Ga cebong ga junjungan kerjanya mnghayal bikin hoax mlulu ...mn mau balik ke mandalika bong ..sukses itu ka

Mana mau balik lgi bong... ga junjungan ga pndukung bikin hoax aja ..mau bersaing sama formula E ya..."
2021-11-29 15:37:49+00:00,_____kingAJ,"@republikaonline @corbuzier ngerti g sih setelah mendengar penjelasan dari Anies?? 

Coba tanya ke Presiden..  Pemerintah bayar berapa buat gelar WSBK &amp; Motogp di Mandalika?? 

Jgn bilang Gratisss"
2021-11-29 15:37:21+00:00,Khaerul_Umam__,"Sukses menggelar IATC dan WSBK, kini Sirkuit Mandalika Lombok siap menggelar MotoGP dan Formula 1 (F1) musim depan.

Vamos Indonesia!

Video by @rezaardiantori 

#mandalika #mandalikacircuit #wsbk #worldsbk #wsbkmandalika #iatc #motogp #motogp2022 #formula1 #lombok #indonesia https://t.co/J4L98wWmTN"
2021-11-29 15:36:32+00:00,BamNumis,"@detikcom Kenapa sirkuit formula e blm ada, krn akan melihat sirkuit mandalika, yg ternyata tergenang saat hujan, jadinya sirkuit formula e wajib ada sumur resapan,"
2021-11-29 15:36:12+00:00,_____kingAJ,@republikaonline Sirkuit Mandalika bayar berapa untuk menyelenggarakan WSBK &amp; Motogp? ..  jgn bilang gratis... Harus di usut juga tuh
